L1,L2,L3,L4,L5,L6,x,y,z,roll,pitch,yaw
16.118899,16.507755,15.680322,15.633941,15.786337,13.648341,5.035579,2.005697,14.219158,9.909676,-0.118668,10.728670
18.785555,20.143438,19.184569,18.999880,21.991100,20.166292,6.492671,-7.545614,16.982712,-6.125146,-2.930874,6.571601
18.700926,18.173575,17.861176,15.051461,14.153778,17.636039,-5.968211,-0.400203,15.629195,7.816992,-10.688208,-0.478835
14.320389,13.093152,13.449686,17.475078,20.399754,16.550053,6.614014,-0.074487,14.130474,-17.158006,10.241890,9.377999
13.232378,15.996165,18.569587,17.476760,16.624135,12.693906,2.117748,-2.776288,14.959280,11.135626,12.632972,16.894814
15.193821,12.168659,12.174607,14.159766,16.054915,19.291770,-6.439354,-1.320231,12.804412,-16.803188,-2.012976,-17.571806
17.839421,20.946945,21.651177,16.604579,14.992291,15.906832,-3.544028,-5.409957,16.538633,19.293688,-4.484510,8.630437
18.735102,18.936493,17.781504,17.170610,20.397021,21.207476,0.750104,-7.595895,17.204447,-13.270117,-4.337246,-3.650013
21.144104,23.332887,21.087272,21.286506,19.281324,18.267083,7.320109,3.458408,18.778326,10.043594,-6.694406,-14.766632
17.812056,20.453542,16.313726,15.164928,13.919864,13.749714,7.438217,0.306917,13.959381,15.777653,-18.077574,-15.526808
15.666489,15.651652,14.500964,11.339072,11.680652,16.221368,-5.478191,-3.732733,12.211490,6.682542,-11.610269,-9.973271
18.875946,20.879926,18.414626,18.963092,19.194458,18.191050,7.529485,-1.378083,17.167199,-2.065921,-3.109092,-12.911255
21.694749,25.557668,22.292537,19.423278,18.718444,19.077519,7.314671,-5.314755,18.789680,13.702727,-8.366738,-17.193650
17.147991,19.226835,17.042008,13.528110,13.258129,15.688780,-0.233990,-4.083075,15.182507,13.223355,-10.710509,-9.350940
21.934174,20.336925,18.820641,20.389623,21.473979,20.873447,4.804488,4.132350,19.445051,-3.554484,-4.253313,6.602901
16.445254,15.759832,18.784222,18.302733,14.519467,14.947227,-5.729819,5.404620,14.111259,11.756767,13.927283,7.194787
13.588196,16.936015,17.484897,15.561606,12.084783,12.504227,-1.251819,-0.359258,14.258074,19.585366,5.420673,-9.474838
18.974906,18.201018,17.341419,18.688078,22.156372,20.171277,6.651768,-3.391209,17.433331,-10.572958,-3.896927,13.786098
18.598793,16.665387,16.121566,17.553675,18.814923,16.973661,4.675317,4.125996,15.848184,0.948287,1.602321,17.904311
21.859043,21.360026,19.926757,20.263562,21.091524,19.261874,7.351879,3.739574,18.492120,10.128402,-2.763109,16.932819
21.480152,21.543503,19.732481,18.812281,21.846463,22.687148,2.491851,-6.952421,19.483909,-8.614350,-9.399550,-0.264936
17.533006,14.633153,16.927264,18.085158,15.209706,17.113098,-7.428613,7.837206,12.348781,2.093559,3.686409,-1.736407
13.700368,14.663046,16.088122,17.412592,21.401126,17.581447,5.586069,-7.365118,13.557637,-19.310841,5.449602,15.624802
14.954249,18.417002,18.626665,19.395424,15.894503,11.807060,6.943892,4.446599,14.043799,18.062377,12.234435,-4.769796
